grade,zipcode,lat,long,sqft_living,sqft_living15,sqft_lot,sqft_lot15,sqft_above,sqft_basement,bedrooms,bathrooms,floors,waterfront,view,condition,yr_built,yr_renovated,price
9,98033,47.6948,-122.178,3020,3010,7203,7215,3020,0,4,2.75,2.0,0,0,3,2014,0,879950.0
8,98052,47.6635,-122.149,2510,1900,9750,9750,2510,0,5,1.75,1.5,0,0,3,1969,0,570000.0
8,98155,47.7646,-122.271,2480,2910,14782,10800,1460,1020,4,1.75,1.0,0,3,3,1958,0,550000.0
7,98198,47.4013,-122.321,1590,1540,8160,10500,1090,500,3,1.0,1.0,0,1,3,1954,0,325000.0
7,98106,47.5422,-122.359,2510,1270,7525,6741,1710,800,5,2.5,1.5,0,0,4,1929,0,400000.0
10,98033,47.699,-122.207,3810,3240,8519,10748,2680,1130,4,3.25,1.0,0,1,3,2007,0,1130000.0
7,98022,47.2089,-122.003,1900,1420,8282,8350,1900,0,4,2.5,1.0,0,0,3,1968,1997,270000.0
7,98031,47.3984,-122.186,1390,1740,11340,11340,1390,0,3,1.5,1.0,0,0,4,1963,0,232000.0
7,98166,47.4692,-122.365,2993,2060,19400,15100,2233,760,4,1.5,2.0,0,0,4,1921,0,540000.0
9,98040,47.5378,-122.219,2480,2770,11010,10744,1630,850,4,1.75,1.0,0,0,4,1966,0,840000.0
8,98004,47.634,-122.204,1440,3520,13296,10802,1440,0,4,1.75,1.0,0,0,4,1967,0,1038000.0
7,98136,47.5397,-122.385,1120,1880,12625,6828,1120,0,2,1.0,1.0,0,3,3,1940,0,360000.0
7,98178,47.4958,-122.265,2090,2190,6485,9600,1280,810,4,1.75,1.0,0,0,3,1956,0,210000.0
7,98033,47.6953,-122.199,1750,1750,3354,4286,1750,0,3,2.5,2.0,0,0,4,1991,0,595000.0
8,98006,47.5567,-122.159,2130,3380,10650,10050,2130,0,4,2.25,2.0,0,0,4,1977,0,686000.0
8,98030,47.3623,-122.199,2483,2075,5701,5720,2483,0,4,3.0,2.0,0,0,3,2005,0,331000.0
7,98056,47.5375,-122.176,1410,1560,7700,7700,1410,0,3,1.75,1.0,0,0,4,1967,0,399500.0
7,98133,47.7604,-122.331,1410,1330,7693,8395,1410,0,4,1.0,1.5,0,0,4,1953,0,355000.0
8,98092,47.2667,-122.216,3040,2420,24123,10026,3040,0,4,2.5,2.0,0,0,3,1999,0,420000.0
8,98011,47.7735,-122.227,2810,2540,4607,4871,2810,0,3,2.5,2.0,0,0,3,2004,0,533000.0
8,98112,47.627,-122.303,2760,2760,5750,5390,2760,0,4,2.5,2.0,0,0,3,1993,0,799500.0
9,98178,47.5095,-122.247,4940,2430,10037,9272,3450,1490,4,2.5,1.0,0,4,3,1953,0,800000.0
7,98117,47.6807,-122.369,1380,1350,5000,5000,1380,0,3,2.0,1.5,0,0,4,1917,0,563000.0
9,98055,47.4326,-122.208,3050,2960,158558,31050,3050,0,3,2.5,1.0,0,0,4,1987,0,555000.0
7,98109,47.6461,-122.356,1040,1730,4480,4200,870,170,3,1.0,1.0,0,0,3,1924,0,642000.0
8,98199,47.6466,-122.391,3366,2340,7800,6000,2966,400,5,4.0,2.5,0,2,3,1937,0,1300000.0
7,98059,47.5008,-122.162,1730,1730,10368,7728,1010,720,5,1.75,1.0,0,0,5,1963,0,268000.0
7,98031,47.4149,-122.181,1740,1640,9672,9600,1110,630,3,2.25,1.0,0,0,4,1963,0,269900.0
8,98034,47.7153,-122.191,2410,2330,6440,6938,1550,860,4,2.5,1.0,0,0,3,1974,0,520000.0
7,98133,47.7369,-122.338,2090,2090,7640,7668,1360,730,3,2.5,1.0,0,0,3,1962,2014,543000.0
6,98166,47.4789,-122.346,1590,1460,13000,8400,1590,0,3,1.0,1.5,0,0,3,1944,0,235000.0
8,98106,47.533,-122.347,1460,990,3840,4200,1340,120,4,1.0,1.5,0,0,3,1928,0,360000.0
7,98125,47.7307,-122.302,1430,1380,7819,7473,1110,320,2,1.0,1.0,0,0,3,1944,0,380950.0
8,98106,47.5364,-122.365,1320,1420,1957,2198,660,660,2,2.5,1.0,0,0,3,2004,0,352000.0
8,98119,47.6352,-122.358,1660,1690,4800,4000,1660,0,3,1.5,2.0,0,0,3,1907,0,926300.0
9,98105,47.666,-122.276,3200,1650,7535,6850,3200,0,4,2.5,2.0,0,0,3,2006,0,1255000.0
8,98146,47.4938,-122.364,2750,2460,13950,13950,1380,1370,4,2.5,1.0,0,3,4,1948,0,725000.0
8,98118,47.5561,-122.266,1180,1420,4000,4000,840,340,1,1.0,1.5,0,2,4,1910,0,713000.0
8,98003,47.2824,-122.295,2052,2052,3723,5250,2052,0,4,2.5,2.0,0,0,3,2014,0,349900.0
9,98136,47.5465,-122.398,2530,2380,7000,7000,2530,0,3,2.5,2.5,0,4,3,1915,1999,975000.0
6,98034,47.7281,-122.235,1060,1768,20040,10800,1060,0,3,1.0,1.0,0,0,3,1943,0,330000.0
7,98008,47.6095,-122.122,2070,1740,10488,9225,1080,990,5,2.25,1.0,0,0,4,1958,0,400000.0
7,98030,47.3817,-122.204,2440,1860,7093,6072,2440,0,4,2.5,2.0,0,0,3,1999,0,310000.0
7,98115,47.6787,-122.285,1020,2370,6120,6695,1020,0,3,1.0,1.0,0,0,3,1941,0,485000.0
8,98008,47.626,-122.112,2030,1780,7700,8160,1400,630,3,2.75,1.0,0,0,5,1965,0,643000.0
7,98155,47.7537,-122.296,2260,2360,17114,14893,2260,0,3,2.25,2.0,0,0,3,1990,0,605000.0
8,98125,47.7226,-122.299,3000,1400,8401,8403,1500,1500,6,3.5,1.0,0,0,3,1979,0,527000.0
7,98052,47.6895,-122.129,2670,2580,11761,10703,1370,1300,5,3.0,1.0,0,0,3,1981,0,515000.0
6,98118,47.562,-122.283,1150,840,6000,3030,1150,0,4,1.0,1.5,0,0,3,1907,0,225000.0
7,98168,47.4847,-122.291,2770,1920,6116,6486,1490,1280,5,2.75,1.0,0,0,3,1979,0,283450.0
7,98144,47.5749,-122.291,1790,1710,4080,4080,1790,0,4,1.5,1.5,0,0,5,1928,0,704300.0
8,98042,47.3833,-122.1,2100,2730,14027,5999,2100,0,3,2.25,2.0,0,0,3,1979,0,270000.0
9,98028,47.7695,-122.259,2630,2800,10131,10123,2630,0,3,2.5,2.0,0,0,3,1989,0,609000.0
8,98033,47.693,-122.168,2240,1790,11040,11040,1120,1120,4,2.0,1.0,0,0,5,1961,0,649000.0
8,98126,47.5442,-122.38,3370,1500,6550,6550,2840,530,3,2.5,2.0,0,2,4,1912,2001,830000.0
8,98146,47.492,-122.364,3200,2220,9200,9500,1600,1600,6,2.75,1.0,0,2,4,1953,0,497300.0
7,98034,47.7159,-122.203,1500,1470,2692,2418,1500,0,3,2.25,2.0,0,0,3,1986,0,400000.0
6,98198,47.3756,-122.306,1040,1100,13920,7575,1040,0,2,1.0,1.0,0,0,3,1973,0,182500.0
7,98122,47.616,-122.314,550,1460,1279,1385,550,0,1,1.0,2.0,0,0,3,2008,0,353000.0
9,98053,47.6847,-122.016,4115,3950,7910,6765,4115,0,5,3.25,2.0,0,0,3,2014,0,988830.0
7,98055,47.4575,-122.204,1820,1860,8085,8625,1820,0,3,2.5,2.0,0,0,3,1983,0,329950.0
7,98148,47.4258,-122.322,1190,1190,9199,9364,1190,0,3,1.0,1.0,0,0,3,1955,0,228000.0
8,98198,47.3829,-122.322,1100,1400,3451,4560,1100,0,1,1.5,1.5,0,0,4,1978,0,220000.0
7,98108,47.5275,-122.321,1210,1210,4250,6000,1210,0,4,2.0,1.0,0,0,4,1941,0,315000.0
8,98155,47.7635,-122.286,2220,2420,9800,10232,2220,0,3,2.25,2.0,0,0,3,1987,0,470000.0
7,98059,47.4801,-122.158,1700,1560,7800,7800,1120,580,4,1.75,1.0,0,0,5,1981,0,349000.0
8,98146,47.5052,-122.372,3060,2190,7015,7600,1600,1460,5,2.75,1.0,0,0,5,1979,0,549900.0
7,98030,47.3808,-122.211,1620,1890,10530,9975,1620,0,4,1.75,1.0,0,0,3,1968,0,249950.0
7,98155,47.7481,-122.327,1930,1940,6180,6180,1330,600,3,2.5,1.0,0,0,3,1961,0,375000.0
8,98178,47.4938,-122.255,2520,1700,5500,8000,1550,970,5,3.0,1.0,0,0,3,2004,0,350000.0
9,98105,47.6687,-122.264,3760,3430,10920,11050,2400,1360,4,3.25,1.5,0,0,5,1950,0,1580000.0
8,98058,47.4538,-122.125,2740,2330,10925,9940,1670,1070,4,3.0,1.0,0,0,3,1980,0,385000.0
6,98122,47.6088,-122.307,1000,1940,5120,4300,1000,0,2,1.0,1.0,0,0,3,1902,0,317500.0
7,98177,47.7072,-122.36,1550,1820,5034,7200,1550,0,3,1.5,2.0,0,0,4,1922,0,430000.0
6,98106,47.5188,-122.353,750,760,5217,4440,750,0,2,1.0,1.0,0,0,4,1943,0,135000.0
6,98144,47.5849,-122.302,870,1190,5340,4440,870,0,2,1.0,1.5,0,0,2,1906,0,271310.0
8,98116,47.5807,-122.389,1420,1420,6250,6250,1420,0,5,1.0,1.5,0,0,4,1926,0,569950.0
8,98074,47.6077,-122.02,2810,2860,6300,6630,2810,0,3,2.5,2.0,0,0,3,2001,0,725000.0
8,98144,47.5973,-122.298,2100,1900,2409,2400,1660,440,3,3.0,2.0,0,0,3,2008,0,515000.0
6,98144,47.5728,-122.312,950,1480,4000,4000,950,0,2,1.0,1.0,0,0,3,1910,0,320000.0
8,98023,47.2986,-122.37,1995,1880,7102,7950,1995,0,4,2.25,2.0,0,0,4,1981,0,266000.0
6,98103,47.6546,-122.356,800,1480,2296,1472,800,0,3,1.0,1.0,0,0,4,1908,0,370000.0
7,98125,47.7168,-122.308,1630,1630,7626,8082,1110,520,4,3.0,1.0,0,0,5,1990,0,482500.0
9,98056,47.5187,-122.208,3170,1580,5100,5100,3170,0,4,2.5,2.0,0,0,3,2012,0,745000.0
7,98118,47.5299,-122.266,2100,1850,4400,4400,1720,380,4,1.75,1.5,0,0,5,1924,0,445000.0
10,98112,47.6189,-122.288,3732,2950,4426,4000,2932,800,5,4.5,2.5,0,0,3,2001,0,1225000.0
5,98092,47.2597,-122.228,1490,1580,57381,101529,1490,0,3,1.0,1.5,0,0,4,1932,0,325000.0
9,98065,47.5422,-121.86,2720,3180,6439,7320,2720,0,3,2.5,2.0,0,0,3,2005,0,619000.0
7,98092,47.3231,-122.103,1980,1520,10051,10125,1980,0,4,2.0,1.0,0,0,3,1969,2003,279000.0
4,98031,47.3882,-122.208,700,1600,13500,10124,700,0,2,1.0,1.0,0,0,3,1920,0,152000.0
7,98166,47.4608,-122.34,1570,1250,15330,13330,1080,490,3,1.75,1.0,0,0,3,1956,0,164950.0
8,98116,47.5895,-122.385,2340,2100,4730,4970,1810,530,5,1.0,2.0,0,0,3,1918,0,677500.0
9,98112,47.6258,-122.312,2500,2810,5568,5568,2500,0,3,2.75,2.0,0,0,5,1905,0,1185000.0
8,98027,47.5397,-122.027,1540,1620,1487,1104,1540,0,3,3.25,2.0,0,0,3,2011,0,520000.0
7,98168,47.5119,-122.321,1400,1570,9460,7700,1060,340,3,1.0,1.0,0,0,3,1961,0,265000.0
8,98029,47.5641,-122.011,2050,2070,6360,7541,2050,0,4,2.5,2.0,0,0,3,1988,0,530000.0
7,98028,47.745,-122.229,2340,2250,17541,9212,1360,980,4,1.75,1.0,0,0,4,1956,0,476000.0
7,98023,47.2715,-122.338,1530,2140,12000,13636,1070,460,3,2.25,1.0,0,0,3,1979,0,245000.0
9,98155,47.7672,-122.292,3690,2290,12353,9082,3690,0,5,3.25,2.0,0,0,5,1977,0,655000.0
7,98166,47.4531,-122.352,2000,1440,7200,7200,1000,1000,3,2.75,1.0,0,0,3,1954,2014,433000.0
7,98058,47.4549,-122.155,1530,1530,17664,11625,1530,0,4,1.75,1.5,0,0,3,1968,0,302000.0
8,98053,47.6546,-122.049,1690,2290,53578,52707,1690,0,3,1.75,1.0,0,0,3,1984,0,509900.0
7,98022,47.2159,-121.966,1590,1780,21600,21600,1590,0,3,1.5,1.5,0,0,4,1971,0,251000.0
7,98030,47.3788,-122.179,1400,1530,7629,7688,1120,280,3,2.5,1.0,0,0,3,1988,0,267500.0
8,98038,47.3706,-122.017,2060,2370,4200,4200,2060,0,3,2.5,2.0,0,0,3,2014,0,326989.0
8,98001,47.2873,-122.283,2497,2434,4400,4400,2497,0,3,2.5,2.0,0,0,3,2007,0,275000.0
8,98103,47.6974,-122.349,840,1110,863,1190,840,0,2,1.0,3.0,0,0,3,2008,0,291000.0
9,98072,47.7749,-122.159,2450,2490,3582,5449,2450,0,3,2.5,2.0,0,0,3,2008,0,552500.0
7,98103,47.6681,-122.338,2350,1640,4815,4013,1450,900,4,2.0,1.5,0,0,4,1914,0,767500.0
11,98027,47.5473,-122.092,2720,3170,54450,60548,2720,0,3,2.25,2.0,0,0,3,1997,0,873000.0
7,98105,47.6706,-122.265,1710,1610,6195,6195,1410,300,3,1.0,1.0,0,0,3,1946,0,670000.0
8,98199,47.6685,-122.409,2190,2190,11394,9540,1550,640,3,2.5,1.0,0,0,3,1956,0,1289000.0
7,98118,47.5355,-122.283,1320,1320,2614,2533,1320,0,3,2.5,2.0,0,0,3,2005,0,300000.0
9,98006,47.5443,-122.172,2290,2290,5089,7984,2290,0,3,2.5,2.0,0,0,3,2001,0,585000.0
7,98126,47.5318,-122.379,1250,1180,4558,4494,1250,0,2,1.0,1.0,0,0,3,1948,0,355000.0
7,98103,47.6955,-122.357,960,1350,6700,6700,960,0,2,1.0,1.0,0,0,3,1951,0,395000.0
6,98045,47.4735,-121.786,900,1440,57063,268765,900,0,2,1.0,1.0,0,0,4,1938,0,275000.0
7,98106,47.5488,-122.364,1570,1590,2399,2306,1180,390,2,2.5,2.0,0,0,3,2009,0,352500.0
7,98146,47.5093,-122.387,1560,1570,7980,7980,1170,390,4,1.0,1.0,0,0,4,1939,0,552500.0
9,98136,47.5482,-122.388,2940,1680,6500,6500,2940,0,3,2.25,3.0,0,0,3,2014,0,885000.0
6,98033,47.6716,-122.199,2530,1886,9000,6000,2530,0,6,3.0,1.0,0,0,3,1978,0,830000.0
7,98031,47.4068,-122.18,1950,1890,9618,7133,1950,0,3,2.5,2.0,0,0,3,1992,0,315000.0
8,98107,47.6697,-122.371,1360,1560,1419,1977,1040,320,3,3.5,2.0,0,0,3,2007,0,515000.0
9,98006,47.5441,-122.117,2930,3210,14980,10787,2930,0,6,3.75,2.0,0,3,3,2013,0,915000.0
10,98072,47.7497,-122.121,3930,2860,43560,36460,3930,0,4,3.5,2.0,0,0,3,2003,0,1200000.0
9,98006,47.5616,-122.153,2720,2470,8712,8714,2720,0,4,2.25,2.0,0,0,4,1976,0,840000.0
7,98003,47.3454,-122.314,1890,1510,7650,7560,1890,0,3,1.5,1.0,0,0,5,1966,0,325000.0
9,98029,47.5534,-122.002,3190,2950,5283,5198,3190,0,3,3.25,2.0,0,0,3,2007,0,757000.0
7,98030,47.3858,-122.227,1100,1150,7110,7110,880,220,4,1.0,1.0,0,0,4,1907,0,225800.0
9,98177,47.7537,-122.373,2650,3020,25248,23135,2330,320,4,2.5,1.0,0,2,3,1954,0,685000.0
7,98115,47.6952,-122.275,930,1770,5368,6000,930,0,2,1.0,1.0,0,0,4,1953,0,420000.0
7,98034,47.7293,-122.227,1500,1970,8173,8173,1500,0,3,1.75,1.0,0,0,3,1997,0,435000.0
7,98126,47.5259,-122.38,1280,1380,5100,7140,1280,0,3,1.0,1.0,0,0,3,1948,0,296500.0
9,98029,47.5596,-122.016,3710,3040,7491,7491,3710,0,4,2.5,2.0,0,0,3,2003,0,846450.0
8,98005,47.5935,-122.172,3070,2270,8250,8800,2100,970,4,2.5,1.0,0,0,5,1958,0,880000.0
10,98075,47.56,-122.04,3130,3130,10860,10860,3130,0,4,2.5,2.0,0,0,3,1990,0,745000.0
6,98010,47.3103,-122.006,3160,1540,19745,8611,1840,1320,4,1.5,1.5,0,0,4,1968,0,335000.0
8,98023,47.297,-122.351,2456,2478,7566,7212,2456,0,3,2.5,2.0,0,0,3,2012,0,329950.0
8,98058,47.4521,-122.121,1870,1900,3584,3920,1870,0,3,2.5,2.0,0,0,3,2003,0,345000.0
6,98023,47.3262,-122.342,1200,1160,10458,9000,1200,0,3,1.0,1.0,0,0,4,1961,0,190000.0
7,98103,47.667,-122.333,1230,1260,3060,4488,910,320,3,1.5,1.0,0,0,3,1927,0,625000.0
7,98198,47.3945,-122.313,1790,1840,12000,12000,1040,750,3,1.75,1.0,0,0,3,1960,0,243000.0
8,98001,47.3095,-122.283,1910,1820,17003,14806,1910,0,3,1.75,1.5,0,0,4,1963,0,299000.0
9,98199,47.6531,-122.405,3600,1430,6224,6224,2610,990,6,4.0,2.0,0,0,3,1945,2006,1112500.0
8,98029,47.5479,-121.999,1540,1560,1827,2058,1540,0,3,2.0,2.0,0,0,3,2005,0,376000.0
8,98106,47.5167,-122.346,1800,1650,2752,2752,1800,0,4,2.25,2.0,0,0,3,2014,0,352800.0
9,98070,47.4041,-122.451,2753,2680,65005,72513,2165,588,3,2.5,1.0,1,2,5,1953,0,1350000.0
8,98052,47.6791,-122.113,1720,1890,11656,10336,1720,0,3,2.5,2.0,0,0,3,1987,1999,540000.0
6,98125,47.712,-122.281,1490,2040,13736,7200,1490,0,4,2.0,1.0,0,0,4,1942,0,410000.0
7,98028,47.7661,-122.262,2350,2160,12480,12000,1600,750,3,2.0,1.0,0,0,3,1981,0,430000.0
7,98103,47.6546,-122.337,2170,1890,4000,4000,1110,1060,3,1.75,1.0,0,0,4,1925,0,913000.0
7,98059,47.4744,-122.154,2110,1800,10200,10200,2110,0,3,1.75,2.0,0,0,4,1966,0,305495.0
10,98033,47.6515,-122.197,3340,1770,10422,9490,3340,0,4,2.5,2.0,0,0,3,1996,0,1150000.0
8,98042,47.3451,-122.094,2270,2310,32112,41606,1740,530,3,2.25,1.0,0,0,4,1980,0,390000.0
9,98059,47.5047,-122.144,3190,2970,7828,7828,3190,0,3,2.5,2.0,0,0,3,2006,0,495500.0
8,98023,47.3202,-122.383,2520,2300,8000,8000,1680,840,4,2.25,1.0,0,2,3,1970,0,415000.0
6,98118,47.551,-122.276,950,1230,3090,4120,950,0,2,1.0,1.0,0,0,4,1909,0,330000.0
9,98077,47.7597,-122.018,3600,3150,203425,202989,3400,200,4,2.5,2.0,0,0,3,1979,0,682000.0
8,98052,47.7213,-122.11,1950,1900,8892,8750,1950,0,3,2.25,2.0,0,0,3,1983,0,480000.0
8,98034,47.7155,-122.218,1830,2030,3200,3331,1830,0,3,2.75,2.0,0,0,3,1991,0,434000.0
7,98011,47.7604,-122.198,1270,1390,8400,8400,1270,0,3,1.0,1.0,0,0,3,1955,0,347000.0
10,98102,47.6395,-122.329,1180,1380,900,3610,780,400,2,1.75,2.0,0,0,3,2014,0,664950.0
8,98042,47.3493,-122.062,3210,2100,41689,41384,1610,1600,4,2.75,1.0,0,0,4,1989,0,399950.0
8,98133,47.7478,-122.338,2100,2080,10358,9000,1280,820,4,1.75,1.0,0,0,5,1959,0,457000.0
8,98155,47.7726,-122.286,2480,2270,10277,10277,1640,840,5,3.25,2.0,0,0,5,1993,0,525000.0
8,98199,47.6528,-122.408,2270,1800,5102,5102,1340,930,4,2.25,1.0,0,0,5,1954,0,735000.0
7,98003,47.3284,-122.331,970,1230,8400,8400,970,0,3,1.5,1.0,0,0,3,1966,0,155000.0
7,98106,47.5604,-122.363,830,830,1020,1379,830,0,2,1.5,2.0,0,0,3,2006,0,205000.0
10,98065,47.5364,-121.858,4210,3950,14599,13591,4210,0,5,3.75,2.0,0,3,3,2004,0,937500.0
8,98006,47.5589,-122.128,2130,2170,8410,8400,2130,0,4,2.25,2.0,0,0,4,1977,0,671500.0
7,98033,47.6689,-122.195,2040,2560,8281,8281,2040,0,4,2.0,2.0,0,1,3,1961,0,565000.0
8,98042,47.3622,-122.074,2160,2000,7964,7964,2160,0,3,2.25,2.0,0,0,3,1991,0,273000.0
7,98166,47.4789,-122.335,1570,980,8775,8775,1570,0,4,1.5,1.0,0,0,3,1943,0,228900.0
8,98023,47.3118,-122.337,1660,1840,7350,7673,1660,0,3,1.75,1.0,0,0,2,1979,0,188000.0
7,98106,47.5539,-122.365,960,970,4560,4800,960,0,3,1.0,1.0,0,0,4,1968,0,290000.0
7,98148,47.432,-122.328,2040,1720,5523,6646,2040,0,4,2.5,2.0,0,0,3,1999,0,345000.0
7,98038,47.3875,-122.032,1860,1870,8378,8378,1860,0,3,2.25,2.0,0,0,3,1995,0,350000.0
7,98155,47.7533,-122.307,1050,1440,9083,9071,1050,0,3,1.0,1.0,0,0,3,1951,0,325000.0
8,98136,47.5476,-122.397,2450,2620,9248,10207,1960,490,3,3.5,2.0,0,4,3,1933,1993,939000.0
8,98053,47.6894,-122.016,2510,2520,5436,5436,2510,0,4,2.5,2.0,0,0,3,2011,0,706000.0
7,98038,47.3495,-122.04,1980,1980,4745,4878,1980,0,4,2.5,2.0,0,0,3,2004,0,335000.0
12,98033,47.6646,-122.208,4475,4340,20424,5250,2659,1816,4,3.75,2.0,1,4,3,1999,0,2574000.0
8,98052,47.7053,-122.113,2590,3010,7084,4823,2590,0,5,2.5,2.0,0,0,3,2014,0,779380.0
8,98052,47.6987,-122.096,2510,2520,3819,3990,2510,0,3,2.5,2.0,0,0,3,2007,0,667000.0
8,98011,47.7489,-122.185,2250,2080,7752,7033,2250,0,3,2.5,2.0,0,0,4,1988,0,550000.0
7,98077,47.7438,-122.075,1390,1390,12823,10095,1390,0,3,1.0,1.0,0,0,4,1968,0,319000.0
7,98166,47.4663,-122.359,1940,2300,6654,9500,1940,0,5,1.75,1.5,0,0,4,1953,0,359000.0
7,98032,47.3859,-122.288,1690,1690,7725,7739,1690,0,5,1.5,1.5,0,0,4,1961,0,285900.0
7,98008,47.6148,-122.113,2330,2270,8800,8800,1260,1070,4,1.75,1.0,0,2,4,1961,0,575000.0
9,98001,47.3003,-122.263,2425,2725,9017,7019,2425,0,4,2.5,2.0,0,0,3,2013,0,447500.0
11,98004,47.6377,-122.211,4250,3620,20441,16304,2490,1760,5,2.5,1.0,0,1,4,1984,0,1810000.0
7,98144,47.5926,-122.296,1790,1460,1709,1462,1400,390,2,3.0,2.0,0,0,3,2001,0,450000.0
9,98075,47.5937,-122.047,2930,2930,18199,33976,2930,0,4,2.5,2.0,0,0,3,1998,0,749000.0
10,98059,47.5347,-122.155,3440,3310,6332,6528,3440,0,4,2.5,2.0,0,0,3,2001,0,781500.0
8,98070,47.3731,-122.43,1590,1670,9912,9912,1590,0,3,2.0,2.0,0,0,3,2000,0,385000.0
11,98059,47.5198,-122.157,3500,3500,10457,11734,3500,0,5,3.25,2.0,0,0,3,2001,0,972800.0
4,98055,47.467,-122.215,730,1790,6890,7969,730,0,1,1.0,1.0,0,0,4,1926,0,140000.0
7,98031,47.3921,-122.182,1730,2030,11325,17859,1730,0,3,1.75,1.0,0,0,5,1972,0,292000.0
8,98126,47.548,-122.375,1570,1570,2031,2039,1310,260,2,3.25,2.0,0,0,3,2006,0,349950.0
7,98053,47.6763,-122.028,1690,1690,3068,3260,1690,0,3,2.5,2.0,0,0,3,2005,0,482500.0
9,98011,47.7368,-122.208,3800,3400,9606,9677,3800,0,4,2.75,2.0,0,0,3,2008,0,730000.0
7,98033,47.7012,-122.169,1340,1340,9975,10050,1340,0,3,1.75,1.0,0,0,4,1961,0,410000.0
7,98115,47.6978,-122.314,800,1560,5080,5110,800,0,2,1.0,1.0,0,0,3,1938,0,404500.0
8,98029,47.5521,-121.999,1540,1210,1860,1090,1540,0,4,2.5,2.0,0,0,3,2014,0,491234.0
7,98106,47.5252,-122.361,1720,1160,2410,1404,970,750,4,2.0,1.0,0,0,3,1930,2006,375000.0
8,98107,47.6699,-122.393,1070,1320,877,1193,1070,0,2,1.5,3.0,0,0,3,2005,0,382000.0
9,98070,47.3907,-122.448,3786,2850,38038,33361,1934,1852,3,3.25,1.0,1,4,3,1978,2006,1379900.0
10,98075,47.578,-122.053,3010,2840,9323,8413,3010,0,4,2.5,2.0,0,0,3,1992,0,754999.0
7,98108,47.5434,-122.293,1530,1540,2890,2890,1530,0,3,2.5,2.0,0,0,3,2001,0,320000.0
7,98198,47.3731,-122.312,1040,1470,8122,8676,1040,0,3,1.0,1.0,0,0,5,1971,0,234000.0
7,98148,47.4256,-122.322,1690,1190,13825,9450,1210,480,3,1.0,1.0,0,0,3,1955,0,257500.0
7,98002,47.3414,-122.218,1160,1330,6134,6301,1160,0,3,1.75,1.0,0,0,3,1998,0,250000.0
